"Dep_ID";"Dep_HOD";"Dep_Name";"Dep_Building";"Dep_Contact";"Dep_Rooms";"Dep_OPD"
"Dep_101";"Prakhar";"Pathology";"B_101";12345;20;"Phase_I"
"Dep_102";"Shaney";"Medicine";"B_102";12345;20;"Phase_II"
"Dep_103";"Snighda";"Surgery";"B_103";12345;20;"Phase_III"
"Dep_104";"Bhaskar";"Pediatrics";"B_104";12345;20;"Phase_IV"
"Dep_105";"Manak";"Gynocology";"B_105";12345;20;"Phase_V"
"Dep_106";"Anjali";"Oncolgy";"B_106";12345;20;"Phase_II"
"Dep_107";"Neha";"Dentistry";"B_107";12345;20;"Phase_III"
"Dep_108";"Sudhir";"ENT";"B_108";12345;20;"Phase_II"
"Dep_109";"Aman";"Orthopadics";"B_109";12345;20;"Phase_II"
"Dep_110";"Chhavi";"Pulmonary Medicine";"B_110";12345;20;"Phase_VI"
"Dep_111";"Prakhar";"Neurology";"B_111";12345;20;"Phase_VII"
"Dep_112";"Shaney";"Physiotherapy";"B_112";12345;20;"Phase_VII"
"Dep_113";"Snighda";"Pyschiatry";"B_113";12345;20;"Phase_V"
"Dep_114";"Bhaskar";"Radiology";"B_114";12345;20;"Phase_V"
"Dep_115";"Manak";"Cardiology";"B_115";12345;20;"Phase_III"
"Dep_116";"Anjali";"Dermatology";"B_116";12345;20;"Phase_VI"
